@relation accelerometer_features

@attribute fft_coef_0000 numeric
@attribute fft_coef_0001 numeric
@attribute fft_coef_0002 numeric
@attribute fft_coef_0003 numeric
@attribute fft_coef_0004 numeric
@attribute fft_coef_0005 numeric
@attribute fft_coef_0006 numeric
@attribute fft_coef_0007 numeric
@attribute fft_coef_0008 numeric
@attribute fft_coef_0009 numeric
@attribute fft_coef_0010 numeric
@attribute fft_coef_0011 numeric
@attribute fft_coef_0012 numeric
@attribute fft_coef_0013 numeric
@attribute fft_coef_0014 numeric
@attribute fft_coef_0015 numeric
@attribute fft_coef_0016 numeric
@attribute fft_coef_0017 numeric
@attribute fft_coef_0018 numeric
@attribute fft_coef_0019 numeric
@attribute fft_coef_0020 numeric
@attribute fft_coef_0021 numeric
@attribute fft_coef_0022 numeric
@attribute fft_coef_0023 numeric
@attribute fft_coef_0024 numeric
@attribute fft_coef_0025 numeric
@attribute fft_coef_0026 numeric
@attribute fft_coef_0027 numeric
@attribute fft_coef_0028 numeric
@attribute fft_coef_0029 numeric
@attribute fft_coef_0030 numeric
@attribute fft_coef_0031 numeric
@attribute fft_coef_0032 numeric
@attribute fft_coef_0033 numeric
@attribute fft_coef_0034 numeric
@attribute fft_coef_0035 numeric
@attribute fft_coef_0036 numeric
@attribute fft_coef_0037 numeric
@attribute fft_coef_0038 numeric
@attribute fft_coef_0039 numeric
@attribute fft_coef_0040 numeric
@attribute fft_coef_0041 numeric
@attribute fft_coef_0042 numeric
@attribute fft_coef_0043 numeric
@attribute fft_coef_0044 numeric
@attribute fft_coef_0045 numeric
@attribute fft_coef_0046 numeric
@attribute fft_coef_0047 numeric
@attribute fft_coef_0048 numeric
@attribute fft_coef_0049 numeric
@attribute fft_coef_0050 numeric
@attribute fft_coef_0051 numeric
@attribute fft_coef_0052 numeric
@attribute fft_coef_0053 numeric
@attribute fft_coef_0054 numeric
@attribute fft_coef_0055 numeric
@attribute fft_coef_0056 numeric
@attribute fft_coef_0057 numeric
@attribute fft_coef_0058 numeric
@attribute fft_coef_0059 numeric
@attribute fft_coef_0060 numeric
@attribute fft_coef_0061 numeric
@attribute fft_coef_0062 numeric
@attribute fft_coef_0063 numeric
@attribute max numeric
@attribute label {standing,walking,running,others}

@data
18.897408,0.361555,0.246015,0.299836,0.297662,0.612195,0.167709,0.558718,0.474897,0.25022,0.173206,0.304684,0.244699,0.204674,0.075068,0.135462,0.131235,0.066158,0.056344,0.114037,0.10485,0.04934,0.013403,0.02671,0.069434,0.034311,0.046655,0.005184,0.034051,0.038789,0.014229,0.025825,0.020023,0.025825,0.014229,0.038789,0.034051,0.005184,0.046655,0.034311,0.069434,0.02671,0.013403,0.04934,0.10485,0.114037,0.056344,0.066158,0.131235,0.135462,0.075068,0.204674,0.244699,0.304684,0.173206,0.25022,0.474897,0.558718,0.167709,0.612195,0.297662,0.299836,0.246015,0.361555,0.383984,standing
18.548604,0.355721,0.187813,0.159787,0.050986,0.096456,0.315476,0.666189,0.526828,0.330186,0.18827,0.200444,0.169309,0.250026,0.219634,0.136775,0.039048,0.019583,0.072192,0.121931,0.120047,0.113013,0.096263,0.056884,0.062903,0.051621,0.027989,0.01076,0.063841,0.07219,0.058783,0.050519,0.025707,0.050519,0.058783,0.07219,0.063841,0.01076,0.027989,0.051621,0.062903,0.056884,0.096263,0.113013,0.120047,0.121931,0.072192,0.019583,0.039048,0.136775,0.219634,0.250026,0.169309,0.200444,0.18827,0.330186,0.526828,0.666189,0.315476,0.096456,0.050986,0.159787,0.187813,0.355721,0.349131,standing
18.68389,0.410066,0.379513,0.078163,0.46796,0.236272,1.253903,0.753199,0.393247,0.152656,0.547728,0.256237,0.327144,0.030211,0.152395,0.115893,0.168222,0.078561,0.178196,0.067367,0.156012,0.05375,0.062971,0.042996,0.049461,0.043598,0.071511,0.01532,0.062772,0.045803,0.014905,0.03159,0.031082,0.03159,0.014905,0.045803,0.062772,0.01532,0.071511,0.043598,0.049461,0.042996,0.062971,0.05375,0.156012,0.067367,0.178196,0.078561,0.168222,0.115893,0.152395,0.030211,0.327144,0.256237,0.547728,0.152656,0.393247,0.753199,1.253903,0.236272,0.46796,0.078163,0.379513,0.410066,0.398519,standing
21.465251,2.492583,0.399239,1.425651,1.847277,1.404084,1.068013,1.935778,1.341179,1.281835,0.058497,0.736402,0.51242,0.31043,0.457594,0.128634,0.253213,0.122114,0.129779,0.216327,0.05284,0.173582,0.038622,0.104668,0.119753,0.145841,0.055261,0.13441,0.101631,0.070887,0.053796,0.059009,0.00918,0.059009,0.053796,0.070887,0.101631,0.13441,0.055261,0.145841,0.119753,0.104668,0.038622,0.173582,0.05284,0.216327,0.129779,0.122114,0.253213,0.128634,0.457594,0.31043,0.51242,0.736402,0.058497,1.281835,1.341179,1.935778,1.068013,1.404084,1.847277,1.425651,0.399239,2.492583,0.692629,standing
26.997324,3.049615,2.791066,3.275307,2.070512,0.172428,1.486766,1.021954,0.550557,0.685298,1.413438,1.416748,0.445078,0.256096,0.185527,0.274114,0.1684,0.69518,0.375521,0.29731,0.235665,0.267211,0.291416,0.126891,0.080741,0.177212,0.081858,0.207884,0.103272,0.121567,0.028707,0.219222,0.038067,0.219222,0.028707,0.121567,0.103272,0.207884,0.081858,0.177212,0.080741,0.126891,0.291416,0.267211,0.235665,0.29731,0.375521,0.69518,0.1684,0.274114,0.185527,0.256096,0.445078,1.416748,1.413438,0.685298,0.550557,1.021954,1.486766,0.172428,2.070512,3.275307,2.791066,3.049615,0.867268,standing
26.528205,1.226987,2.143358,2.636561,1.80903,2.424315,1.384302,1.369552,1.331079,1.312689,2.376368,0.507729,2.128338,0.879732,0.969543,1.105003,0.75473,0.964839,0.821921,0.719798,0.257614,0.389626,0.183347,0.135195,0.102371,0.115076,0.262209,0.086555,0.046914,0.114224,0.079057,0.185514,0.103978,0.185514,0.079057,0.114224,0.046914,0.086555,0.262209,0.115076,0.102371,0.135195,0.183347,0.389626,0.257614,0.719798,0.821921,0.964839,0.75473,1.105003,0.969543,0.879732,2.128338,0.507729,2.376368,1.312689,1.331079,1.369552,1.384302,2.424315,1.80903,2.636561,2.143358,1.226987,0.934974,standing
23.095799,2.032137,1.604401,1.070914,2.093504,2.322374,0.169293,2.585107,1.952595,2.331086,1.861043,0.657143,0.716831,0.329404,0.987782,0.490225,0.486118,0.582896,0.195612,0.267882,0.231253,0.092763,0.112484,0.201152,0.278544,0.365306,0.298135,0.243835,0.084477,0.109945,0.049491,0.077895,0.016744,0.077895,0.049491,0.109945,0.084477,0.243835,0.298135,0.365306,0.278544,0.201152,0.112484,0.092763,0.231253,0.267882,0.195612,0.582896,0.486118,0.490225,0.987782,0.329404,0.716831,0.657143,1.861043,2.331086,1.952595,2.585107,0.169293,2.322374,2.093504,1.070914,1.604401,2.032137,0.86776,standing
20.504104,0.393256,0.926859,1.190145,0.632443,1.286238,0.883956,0.31948,0.344402,0.863314,0.300998,0.64487,0.207294,0.544311,0.016707,0.567291,0.190512,0.137253,0.238391,0.235718,0.204498,0.189301,0.120393,0.112326,0.147243,0.174745,0.136759,0.142762,0.12417,0.125196,0.102639,0.102448,0.163704,0.102448,0.102639,0.125196,0.12417,0.142762,0.136759,0.174745,0.147243,0.112326,0.120393,0.189301,0.204498,0.235718,0.238391,0.137253,0.190512,0.567291,0.016707,0.544311,0.207294,0.64487,0.300998,0.863314,0.344402,0.31948,0.883956,1.286238,0.632443,1.190145,0.926859,0.393256,0.495888,standing
19.041706,1.278103,1.902642,0.682719,0.48919,0.983183,0.521536,0.719597,0.645738,0.169034,0.583087,0.283138,0.637191,0.361029,0.461851,0.327039,0.164158,0.313789,0.192029,0.289198,0.160523,0.183918,0.135891,0.140998,0.137497,0.120915,0.129797,0.105721,0.095859,0.12905,0.149502,0.126689,0.078759,0.126689,0.149502,0.12905,0.095859,0.105721,0.129797,0.120915,0.137497,0.140998,0.135891,0.183918,0.160523,0.289198,0.192029,0.313789,0.164158,0.327039,0.461851,0.361029,0.637191,0.283138,0.583087,0.169034,0.645738,0.719597,0.521536,0.983183,0.48919,0.682719,1.902642,1.278103,0.480514,standing
19.96728,0.734981,0.408347,0.420272,0.301939,0.868911,0.631065,0.314566,0.358071,0.149311,0.211684,0.409996,0.242006,0.176946,0.00782,0.275458,0.061677,0.084686,0.16004,0.069219,0.060984,0.06009,0.023338,0.04596,0.039672,0.048408,0.015907,0.008897,0.014892,0.011251,0.014593,0.01573,0.019432,0.01573,0.014593,0.011251,0.014892,0.008897,0.015907,0.048408,0.039672,0.04596,0.023338,0.06009,0.060984,0.069219,0.16004,0.084686,0.061677,0.275458,0.00782,0.176946,0.242006,0.409996,0.211684,0.149311,0.358071,0.314566,0.631065,0.868911,0.301939,0.420272,0.408347,0.734981,0.420864,standing
